release_build,eol_date,component,cell_value,status,source_row,source_component_col,source_cell
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Product Engineering,Release 14 | (14.0.1),End of Life,99,D,D99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Program Management,Release 14 | (14.0.1),End of Life,99,E,E99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Requirements Engineering,Release 14 | (14.0.1),End of Life,99,F,F99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Systems Architecture,Release 14 | (14.0.1),End of Life,99,G,G99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Simulation Management,Release 14 | (14.0.1),End of Life,99,H,H99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Component Engineering,Release 14 | (14.0.1),End of Life,99,I,I99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Technical Documentation,Release 14 | (14.0.1),End of Life,99,J,J99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Quality Management System,Release 14 | (14.0.1),End of Life,99,K,K99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Process Quality Binding,Release 14 | (14.0.1),End of Life,99,L,L99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Manufacturing Process Planning,Release 19 | (14.0.2),End of Life,99,M,M99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Digital Twin Core,,End of Life,99,N,N99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Unified Change Management,,End of Life,99,O,O99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Variant Management,,End of Life,99,P,P99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,High Tech Electronics,,End of Life,99,Q,Q99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Supplier Management,,End of Life,99,R,R99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Aras ProAppDesigner,,End of Life,99,S,S99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Aras Portal,,End of Life,99,T,T99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Office Connector,Release 14 | (14.0.1),End of Life,99,U,U99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Office Productivity Connector,Release 14 | (14.0.0.14),End of Life,99,V,V99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Workspace Productivity Connector,,End of Life,99,W,W99
Release 19 | (Build 14.0.5.34717),Jun-2025 2,Enterprise Search,Release 14 (14.0.1),End of Life,99,X,X99
